review_id,review_text,sentiment
1,this film was just brilliant casting location scenery story direction everyone's really suited the part they played and you could just imagine being there robert is an amazing actor and now the same being director father came from the same scottish island as myself so i loved the fact there was a real connection with this film the witty remarks throughout the film were great it was just brilliant so much that i bought the film as soon as it was released for and would recommend it to everyone to watch and the fly fishing was amazing really cried at the end it was so sad and you know what they say if you cry at a film it must have been good and this definitely was also to the two little boy's that played the of norman and paul they were just brilliant children are often left out of the list i think because the stars that play them all grown up are such a big profile for the whole film but these children are amazing and should be praised for what they have done don't you think the whole story was so lovely because it was true and was someone's life after all that was shared with us all,positive
2,big hair big boobs bad music and a giant safety pin these are the words to best describe this terrible movie i love cheesy horror movies and i've seen hundreds but this had got to be on of the worst ever made the plot is paper thin and ridiculous the acting is an abomination the script is completely laughable the best is the end showdown with the cop and how he worked out who the killer is it's just so damn terribly written the clothes are sickening and funny in equal the hair is big lots of boobs men wear those cut shirts that show off their sickening that men actually wore them and the music is just trash that plays over and over again in almost every scene there is trashy music boobs and taking away bodies and the gym still doesn't close for all joking aside this is a truly bad film whose only charm is to look back on the disaster that was the 80's and have a good old laugh at how bad everything was back then,negative
3,this has to be one of the worst films of the 1990s when my friends i were watching this film being the target audience it was aimed at we just sat watched the first half an hour with our jaws touching the floor at how bad it really was the rest of the time everyone else in the theatre just started talking to each other leaving or generally crying into their popcorn that they actually paid money they had working to watch this feeble excuse for a film it must have looked like a great idea on paper but on film it looks like no one in the film has a clue what is going on crap acting crap costumes i can't get across how this is to watch save yourself an hour a bit of your life,negative
4,the at storytelling the traditional sort many years after the event i can still see in my eye an elderly lady my friend's mother retelling the battle of she makes the characters come alive her passion is that of an eye witness one to the events on the heath a mile or so from where she lives br br of course it happened many years before she was born but you wouldn't guess from the way she tells it the same story is told in bars the length and of scotland as i discussed it with a friend one night in a local cut in to give his version the discussion continued to closing time br br stories passed down like this become part of our being who doesn't remember the stories our parents told us when we were children they become our invisible world and as we grow older they maybe still serve as inspiration or as an emotional fact and fiction blend with role models warning stories magic and mystery br br my name is like my grandfather and his grandfather before him our protagonist introduces himself to us and also introduces the story that stretches back through generations it produces stories within stories stories that evoke the wonder of scotland its rugged mountains in the stuff of legend yet is in reality this is what gives it its special charm it has a rough beauty and authenticity with some of the finest singing you will ever hear br br visits his grandfather in hospital shortly before his death he burns with frustration part of him to be in the twenty first century to hang out in but he is raised on the western among a speaking community br br yet there is a deeper conflict within him he to know the truth the truth behind his ancient stories where does fiction end and he wants to know the truth behind the death of his parents br br he is pulled to make a last journey to the of one of most mountains can the truth be told or is it all in stories br br in this story about stories we bloody battles lovers the of old and the sometimes more of accepted truth in doing so we each connect with as he lives the story of his own life br br the is probably the most honest and genuinely beautiful film of scotland ever made like i got slightly annoyed with the of hanging stories on more stories but also like i this once i saw the picture ' forget the box office of braveheart and its like you might even the famous of the wicker man to see a film that is true to scotland this one is probably unique if you maybe on it deeply enough you might even re the power of storytelling and the age old question of whether there are some truths that cannot be told but only experienced,positive
5,worst mistake of my life br br i picked this movie up at target for 5 because i figured hey it's sandler i can get some cheap laughs i was wrong completely wrong mid way through the film all three of my friends were asleep and i was still suffering worst plot worst script worst movie i have ever seen i wanted to hit my head up against a wall for an hour then i'd stop and you know why because it felt damn good upon bashing my head in i stuck that damn movie in the and watched it burn and that felt better than anything else i've ever done it took american psycho army of darkness and kill bill just to get over that crap i hate you sandler for actually going through with this and ruining a whole day of my life,negative
6,begins better than it ends funny that the russian submarine crew all other actors it's like those scenes where documentary shots br br spoiler part the message was contrary to the whole story it just does not br br,negative
7,lavish production values and solid performances in this straightforward adaption of jane satirical classic about the marriage game within and between the classes in 18th century england northam and paltrow are a mixture as friends who must pass through and lies to discover that they love each other good humor is a virtue which goes a long way towards explaining the of the aged source material which has been toned down a bit in its harsh i liked the look of the film and how shots were set up and i thought it didn't rely too much on of head shots like most other films of the 80s and 90s do very good results,positive
8,the tells the story of the four hamilton siblings teenager francis twins joseph the david samuel who is now the surrogate parent in charge the move house a lot is unsure why is unhappy with the way things are the fact that his brother's sister kidnap murder people in the basement doesn't help relax or calm nerves either francis something just isn't right when he eventually finds out the truth things will never be the same again br br co written co produced directed by mitchell phil as the butcher brothers who's only other film director's credit so far is the april day 2008 remake enough said this was one of the to die at the 2006 after dark or whatever it's called in keeping with pretty much all the other's i've seen i thought the was complete total utter crap i found the character's really poor very unlikable the slow moving story failed to capture my imagination or sustain my interest over it's 85 a half minute too long minute duration the there's the awful twist at the end which had me laughing out loud there's this really big build up to what's inside a thing in the basement it's eventually revealed to be a little boy with a teddy is that really supposed to scare us is that really supposed to shock us is that really something that is supposed to have us talking about it as the end credits roll is a harmless looking young boy the best ending that the makers could come up with the boring plot along it's never made clear where the get all their money from to buy new houses since none of them seem to work except david in a i doubt that pays much or why they haven't been caught before now the script tries to mix in every day drama with potent horror it just does a terrible job of combining the two to the extent that neither aspect is memorable or effective a really bad film that i am struggling to say anything good about br br despite being written directed by the extreme sounding butcher brothers there's no gore here there's a bit of blood splatter a few scenes of girls up in a basement but nothing you couldn't do at home yourself with a bottle of a camcorder the film is neither scary since it's got a very middle class suburban setting there's zero atmosphere or mood there's a lesbian suggest incestuous kiss but the is low on the exploitation scale there's not much here for the horror crowd br br filmed in in california this has that modern low budget look about it it's not badly made but rather forgettable the acting by an unknown to me cast is nothing to write home about i can't say i ever felt anything for anyone br br the commits the sin of being both dull boring from which it never add to that an ultra thin story no gore a rubbish ending character's who you don't give a toss about you have a film that did not impress me at all,negative
9,just got out and cannot believe what a brilliant documentary this is rarely do you walk out of a movie theater in such awe and lately movies have become so over hyped that the thrill of discovering something truly special and unique rarely happens did this to me when it first came out and this movie is doing to me now i didn't know a thing about this before going into it and what a surprise if you hear the concept you might get the feeling that this is one of those movies about an amazing triumph covered with over the top music and trying to have us fully convinced of what a great story it is telling but then not letting us in this is not that movie the people tell the story this does such a good job of capturing every moment of their involvement while we enter their world and feel every second with them there is so much beyond the climb that makes everything they go through so much more tense touching the void was also a great doc about mountain climbing and showing the intensity in an engaging way but this film is much more of a human story i just saw it today but i will go and say that this is one of the best documentaries i have ever seen,positive
10,this movie has many problem associated with it that makes it come off like a low budget class project from someone in film school i have to give it credit on its though many times throughout the movie i found myself laughing hysterically it was so bad at times that it was comical which made it a fun watch br br if you're looking for a low grade slasher movie with a twist of psychological horror and a dash of campy then pop a bowl of popcorn invite some friends over and have some fun br br i agree with other comments that the sound is very bad dialog is next to impossible to follow much of the time and the soundtrack is kind of just there,negative
